Datetime,Open,High,Low,Close,Volume
2023-10-26T08:00:00.000+0000,34657.5,34752.0,34414.1,34434.4,961.87981007
2023-10-26T10:00:00.000+0000,34434.5,34459.5,33963.7,34103.8,1537.20687702
2023-10-26T12:00:00.000+0000,34103.8,34370.8,34080.7,34176.0,1032.15338274
2023-10-26T14:00:00.000+0000,34176.0,34339.2,33860.0,34043.9,2072.87470684
2023-10-26T16:00:00.000+0000,34044.0,34079.4,33746.3,33945.2,1129.86293881
2023-10-26T18:00:00.000+0000,33947.4,34112.9,33913.4,34046.2,632.6724807
2023-10-26T20:00:00.000+0000,34046.3,34217.9,34023.6,34114.4,448.26931946
2023-10-26T22:00:00.000+0000,34114.5,34278.5,34114.5,34151.6,256.92346272
2023-10-27T00:00:00.000+0000,34151.7,34174.3,33783.4,33847.3,667.83415796
2023-10-27T02:00:00.000+0000,33847.4,34150.0,33809.8,34119.0,397.97071667
2023-10-27T04:00:00.000+0000,34119.6,34187.5,33975.6,34084.9,356.97124474
2023-10-27T06:00:00.000+0000,34084.9,34244.0,33928.9,33946.4,446.18397034
2023-10-27T08:00:00.000+0000,33950.5,34178.8,33943.0,34157.6,498.65158979
2023-10-27T10:00:00.000+0000,34157.6,34171.9,33969.5,34040.1,412.2753665
2023-10-27T12:00:00.000+0000,34046.0,34197.9,33909.9,34154.7,992.29668548
2023-10-27T14:00:00.000+0000,34154.6,34162.0,33829.6,33999.3,1168.40580759
2023-10-27T16:00:00.000+0000,33999.4,34033.4,33381.5,33601.8,997.29537452
2023-10-27T18:00:00.000+0000,33600.2,33704.4,33398.3,33696.5,809.73053528
2023-10-27T20:00:00.000+0000,33697.8,33864.6,33680.0,33840.5,246.90128834
2023-10-27T22:00:00.000+0000,33840.5,33940.4,33786.7,33891.0,239.50492546
2023-10-28T00:00:00.000+0000,33891.0,33929.9,33861.8,33915.4,140.06416905
2023-10-28T02:00:00.000+0000,33915.6,34150.0,33900.3,34060.2,315.07893443
