Datetime,Open,High,Low,Close,Volume
2025-03-26T08:00:00.000+0000,2069.54,2072.64,2057.79,2062.58,1637.3495
2025-03-26T10:00:00.000+0000,2062.75,2075.51,2062.65,2068.34,2013.1086
2025-03-26T12:00:00.000+0000,2068.35,2070.27,2027.01,2028.68,4247.6928
2025-03-26T14:00:00.000+0000,2028.68,2038.13,2007.14,2012.72,8199.2053
2025-03-26T16:00:00.000+0000,2012.58,2022.2,2003.4,2006.3,2853.354
2025-03-26T18:00:00.000+0000,2006.44,2013.69,1981.38,2000.02,3111.3102
2025-03-26T20:00:00.000+0000,1999.92,2017.53,1992.11,2008.48,2268.1389
2025-03-26T22:00:00.000+0000,2008.23,2010.5,1995.08,2009.36,2047.2626
2025-03-27T00:00:00.000+0000,2009.36,2025.41,2006.94,2020.47,1772.9915
2025-03-27T02:00:00.000+0000,2020.47,2037.3,2019.82,2031.22,1705.936
2025-03-27T04:00:00.000+0000,2031.29,2032.63,2021.41,2022.58,1100.0067
2025-03-27T06:00:00.000+0000,2022.58,2030.2,2022.41,2026.57,909.593799
2025-03-27T08:00:00.000+0000,2026.5,2032.25,2018.19,2028.59,1871.1864
2025-03-27T10:00:00.000+0000,2028.77,2035.84,2012.42,2016.2,2282.7787
2025-03-27T12:00:00.000+0000,2016.21,2025.04,1987.16,2003.52,4083.7835
2025-03-27T14:00:00.000+0000,2003.35,2026.49,1996.5,2005.69,4052.8697
2025-03-27T16:00:00.000+0000,2005.53,2015.29,1994.21,2000.3,4099.0157
2025-03-27T18:00:00.000+0000,2000.31,2014.75,1999.68,2004.08,1781.6484
2025-03-27T20:00:00.000+0000,2004.32,2020.0,2000.72,2018.18,3644.6912
2025-03-27T22:00:00.000+0000,2018.19,2018.81,1999.89,2003.59,1315.6578
2025-03-28T00:00:00.000+0000,2003.6,2015.52,1992.19,2009.4,2872.4935
2025-03-28T02:00:00.000+0000,2009.26,2015.91,1995.66,1999.95,2038.0595
2025-03-28T04:00:00.000+0000,1999.95,2004.5,1905.18,1915.84,11424.3916
2025-03-28T06:00:00.000+0000,1915.78,1928.36,1903.74,1910.2,4438.3582
